编号,分类,机制/机关,适用类型,运作规则,角色性能依赖,依赖能力或参数,玩家操作或协作要求,典型出处,设计分析,合并来源,原文参考链接,出处说明
LM-137,策略与战棋地图规则,高地视野与优势位置,RTS；战棋；策略,高度按游戏规则影响观察或交战，高地入口决定接近方式。,是,单位视野；射程；高低地规则,控制入口并获取高处信息,《星际争霸》,不要默认所有作品都有同一种命中加成；应以实际视野和攻击规则布图。,关卡机制2.md #195 高地；关卡机制2.md #202 可占领高地,,
LM-138,策略与战棋地图规则,河流、桥口与渡运,RTS；战棋；策略,水体分隔区域，桥梁、浅滩或运输单位限定跨区通路。,是,陆海空移动类型；涉水或运输能力,争夺渡口并分配运输,《帝国时代》,少量渡口强化方向控制；应为不同单位验证可达路线与寻路成本。,关卡机制2.md #198 河流,,
LM-139,策略与战棋地图规则,植被与地图视野阻挡,RTS；战棋；策略,地图植被或特定地形阻断观察，形成可侦察、可埋伏的区域。,条件依赖,单位视野与侦察能力；阻挡规则,决定探路方向和信息覆盖,《星际争霸II》,视觉遮挡规则需与地形外观一致；不能把所有森林默认视为可隐蔽区域。,关卡机制2.md #199 森林；关卡机制2.md #200 视野阻挡,,
LM-140,策略与战棋地图规则,战争迷雾与侦察区域,RTS；战棋；策略,尚未观察或已失去观察的区域隐藏实时信息，迫使玩家持续侦察。,是,单位视野；侦察范围与机动性,安排视野覆盖并推断未知区域,《星际争霸》；《全面战争》,保留地图信息规则；地形入口与侦察成本决定信息差是否可被合理利用。,关卡机制2.md #201 战争迷雾,,
LM-141,策略与战棋地图规则,资源点与扩张位置,RTS；战棋；策略,资源集中在特定地点，采集和扩张把收益与区域风险绑定。,是,采集、运输与建造能力；移动效率,比较距离、防守成本和资源收益,RTS与生存类；原文未限定具体作品,位置应形成可比较的扩张选择；资源数量和可防守性需一起考虑。,关卡机制2.md #203 资源点；关卡机制2.md #204 扩张点；关卡机制2.md #226 资源节点,,原文示例为类型级，具体作品待补。
LM-142,策略与战棋地图规则,地图中立据点与巢穴,RTS；战棋；策略,固定区域持续提供威胁或收益，玩家可绕行、清除或争夺。,条件依赖,队伍战斗能力；区域触发与刷新规则,决定接触时机和投入规模,RTS与生存类；原文未限定具体作品,保留据点的位置和进出路线；中立生物的技能、成长或生态AI不单列。,关卡机制2.md #207 中立单位；关卡机制2.md #220 生物巢穴,,原文示例为类型级，具体作品待补。
LM-143,策略与战棋地图规则,占领与控制点,RTS；战棋；策略,单位进入并满足占领条件后获得持续收益或推进关卡目标。,条件依赖,单位可达性；占领人数与时间规则,分配守点、转点和干扰任务,RTS类；原文未给具体作品,占领区需有多种接近方向；收益与到达时间决定是否出现唯一必争点。,关卡机制2.md #209 中央控制点,,具体作品和控制点规则待核实。
LM-144,策略与战棋地图规则,侦察塔,RTS；战棋；策略,占据地图装置后获得周围视野，离开或失守则丧失信息优势。,条件依赖,单位可达性；占据条件,权衡驻守成本和视野收益,《星际争霸II》萨尔纳加瞭望塔,视野覆盖要覆盖有价值路线；占领过程应允许双方争夺和反侦察。,关卡机制2.md #210 侦察塔,https://news.blizzard.com/en-us/article/273067/reconnaissance-report-scrap-station,
LM-145,策略与战棋地图规则,地图天气与行动限制,RTS；战棋；策略,关卡天气改变地形通过、视野或可执行行动。,是,单位移动类型；天气适应与行动规则,据天气重新安排回合行动,《三国志曹操传》,仅保留改变地图决策的天气规则；具体加成和技能限制需按版本确认。,关卡机制1.md 天气系统,,
LM-146,建造与持久空间变化,可建造障碍与通路,沙盒；生存；开放世界,在允许位置搭建墙、台阶等结构，改变可达性和防守路线。,条件依赖,建造工具；材料；尺寸与放置规则,选择结构和位置并保持通路,《Minecraft》；《Rust》,提取建筑对通行的具体作用；需检查封死关键入口、堆叠越界等情况。,关卡机制2.md #211 可建造建筑,,
LM-147,建造与持久空间变化,可建造道路与轨道,沙盒；生存；开放世界,建设连续交通设施，降低后续运输成本并连接远处节点。,条件依赖,材料、建造权限；车辆或运输设施规则,组织线路和接入点,《死亡搁浅》；《死亡搁浅2》,收益取决于真实运输需求；路网应服务地形和节点，而非只增加移动速度。,关卡机制2.md #212 玩家道路；关卡机制2.md #214 玩家轨道,,
LM-148,建造与持久空间变化,可建造桥梁,沙盒；生存；开放世界,跨越河流或裂口建立永久或长期连接，替代绕行路线。,条件依赖,建造材料；跨度与地形限制,选择桥位和两端接入路线,《死亡搁浅》,桥位价值来自缩短实际路线；两端坡度、转弯和载具宽度都影响能否使用。,关卡机制2.md #213 桥梁,,
LM-149,建造与持久空间变化,可搭建逻辑电路,沙盒；生存；开放世界,连接开关、电源、导线与执行器，构造门禁或联动机关。,条件依赖,建造与布线权限；组件供给,组织逻辑关系并排查信号状态,《Minecraft》红石；《Rust》电力装置,保留可交互的电路装置；布线状态和执行结果应能被直接观察与调试。,关卡机制2.md #215 红石机关；关卡机制2.md #219 电网,,
LM-150,建造与持久空间变化,玩家布设陷阱,沙盒；生存；开放世界,在场地布置触发器和杀伤装置，改变后续通行风险。,条件依赖,布设工具与材料；触发条件,选择覆盖位置并避免阻断己方路线,《Minecraft》；《Rust》,机制核心是布点后对通路的影响；须明确敌我识别、回收和误触规则。,关卡机制2.md #218 陷阱,,
LM-151,建造与持久空间变化,持久性地图解锁,沙盒；生存；开放世界,开通桥门或设施后，该连接在后续访问或后续局次保留。,条件依赖,前置关卡目标；持久状态保存,辨认永久变化并重规划路线,原文仅称Roguelite，未给具体作品,仅保留地图连接状态；永久属性成长与解锁数值不属于本条。,关卡机制2.md #266 地图永久变化,,具体作品与持久范围待核实。
LM-152,赛车与载具赛道,弯道与发夹弯,赛车；竞速；载具关卡,弯曲半径限制入弯速度和行驶线，急弯要求明显制动或转向。,是,车辆转向；抓地力；制动距离；漂移规则,选择刹车点和出弯路线,《Forza》；《Gran Turismo》,同一弯道对不同车辆难度不同；赛道需按目标车速测试视距和容错带。,关卡机制2.md #239 弯道；关卡机制2.md #240 发夹弯,,
LM-153,赛车与载具赛道,上下坡赛段,赛车；竞速；载具关卡,坡度改变车速与前方可见范围，坡顶可能遮住后续路线。,是,动力；重力响应；制动能力；悬挂,管理车速并预判坡后道路,原文仅称赛车游戏,坡度不只是视觉变化；坡顶后障碍应给足必要视距，避免无法预见的碰撞。,关卡机制2.md #241 上坡；关卡机制2.md #242 下坡,,具体作品及赛段待补。
LM-154,赛车与载具赛道,跳台与跨缺口赛段,赛车；竞速；载具关卡,赛道坡台将车辆抛向空中，越过缺口后需落入有效路面。,是,入台速度；起跳角；空中控制；落地稳定性,控制入台路线和落地姿态,《Trackmania》,助跑长度、跳台角和落地区域应作为整体调整；失误后需有清楚的复位点。,关卡机制2.md #243 跳台；关卡机制2.md #248 断桥,,断桥按缺口赛段处理，原文未给独立实例。
LM-155,赛车与载具赛道,特殊路面与积水,赛车；竞速；载具关卡,泥、沙或积水改变阻力、抓地或稳定性，重估路线成本。,是,轮胎抓地；车辆涉水和阻力规则,提前减速并保持车身稳定,原文仅称赛车游戏,需要按实际物理模型区分湿滑、减速和失稳；不能把所有地表统一为减速区。,关卡机制2.md #245 泥地；关卡机制2.md #246 沙地；关卡机制2.md #247 水坑,,具体作品及赛段待补。
LM-156,赛车与载具赛道,加速带与能量补充区,赛车；竞速；载具关卡,车辆经过区域获得即时加速或补充可用加速资源。,是,基础速度；加速幅度；操控性能,选择进入角度并控制加速后的路线,原文仅称赛车游戏,加速带和补充氮气是不同变体；应留出读路距离，避免加速后立即无解撞墙。,关卡机制2.md #249 氮气区,,原文氮气区未给作品，具体实现待核实。
LM-157,赛车与载具赛道,赛道分叉与高风险捷径,赛车；竞速；载具关卡,路线在节点分开，以长度、操作难度或资源收益形成选择。,是,车辆性能；分支入口速度；通过条件,比较收益并提前选线,《索尼克赛车》系列,捷径收益要对应可读风险；分支提示必须早于车辆不可转向的位置。,关卡机制2.md #244 急弯捷径；关卡机制2.md #252 赛道分叉；关卡机制1.md 分支赛道,,
LM-158,赛车与载具赛道,动态变形赛道,赛车；竞速；载具关卡,比赛过程中桥、路面或区域状态改变，开放或关闭部分路线。,是,载具移动模式；路线变化后的通过能力,识别当前圈次或场景状态并改线,《马里奥赛车》；《索尼克赛车》系列,变化要有提前信号；赛车形态与路面变化需明确区分，不能统称传送门。,关卡机制2.md #253 动态赛道；关卡机制1.md 赛道变形/传送门,,《索尼克赛车》具体变形作品版本需核实；修正原文把形态变化和传送门混写的问题。
LM-159,赛车与载具赛道,赛道路障与移动障碍,赛车；竞速；载具关卡,静态障碍或周期移动物压缩车道，迫使绕行或调整速度。,是,车辆宽度；转向；刹车距离,观察空隙并规划绕行线,《马里奥赛车》,障碍间距应匹配目标车速；初见也要有可反应的视距和安全出口。,关卡机制2.md #251 路障；关卡机制2.md #254 环境障碍,,
LM-160,赛车与载具赛道,赛道检查点与复位门,赛车；竞速；载具关卡,按顺序通过检查区域才计入有效进度，失误后按规则复位。,是,车辆尺寸与速度；触发宽度,保持合法路线并完成检查顺序,赛车类；原文未限定具体作品,进度检查和复位点可分开设计；需防止误漏判定、倒向复位和连续重复跌落。,关卡机制1.md 检查点,,
LM-161,三消与棋盘机关,多层阻挡格,三消；休闲；棋盘解谜,障碍需要多次有效消除才能解除，限制棋盘交换或掉落。,不适用,无玩家角色；依赖消除范围与障碍层数,选择打开空间的先后顺序,《Candy Crush》,层数应有清晰反馈；障碍布局要形成路线选择，避免只堆耐久拖长关卡。,关卡机制1.md 多层障碍,,
LM-162,三消与棋盘机关,指定颜色解锁障碍,三消；休闲；棋盘解谜,只有对应颜色的有效匹配才能削弱、变色或清除障碍。,不适用,无玩家角色；依赖颜色与匹配规则,安排颜色资源和消除位置,原文仅称三消游戏,目标颜色应有替代视觉编码；需核对棋子生成是否允许关卡达成目标。,关卡机制1.md 变色障碍,,原文未区分障碍变色和颜色限制，本条保留可明确描述的颜色解锁规则。
LM-163,三消与棋盘机关,移动目标与移动障碍,三消；休闲；棋盘解谜,目标或阻挡物按回合、触发条件或既定路径换位。,不适用,无玩家角色；依赖棋盘回合和目标移动规则,预判下一位置并准备匹配,原文仅称三消游戏,应让移动规则可学习；完全不可预测的位移会削弱规划的价值。,关卡机制1.md 移动障碍,,具体作品与移动规则待核实。
LM-164,三消与棋盘机关,棋盘传送带与行列平移,三消；休闲；棋盘解谜,每回合或触发后，棋子沿路径运输或整行整列移动。,不适用,无玩家角色；依赖掉落、平移和结算顺序,预判移动后的邻接关系,原文仅称三消游戏,必须固定交换、消除、运输的结算顺序；动画要帮助玩家跟踪关键棋子。,关卡机制1.md 水流/平移,,原文线索平移语义不清，按棋子位置改变整理；具体作品待核实。
